cjson 1.7.18-1
clang 17.0.6-2
clojure 1.11.3.1463-1
clucene 2.3.3.4-14
cmake 3.29.5-2
code 1.90.0-1
colord 1.4.7-2
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.7-2
compiler-rt 17.0.6-2
composefs 1.0.3-1
confuse 3.3-4
convertlit 1.8-11
coreutils 9.5-1
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.7.2-1
cups-pk-helper 0.2.7-1
curl 8.8.0-1
dav1d 1.4.2-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-6
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.24-1
dialog 1:1.3_20240307-2
diffutils 3.10-1
discord 0.0.56-1
djvulibre 3.5.28-6
dmenu 5.3-3
dolphin 24.05.1-1
dosfstools 4.2-3
dotconf 1.4.1-1
dotnet-host 8.0.6.sdk106-1
dotnet-runtime-6.0 6.0.31.sdk131-1
double-conversion 3.3.0-1
doxygen 1.11.0-3
duktape 2.7.0-6
dunst 1.11.0-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.8-1
efibootmgr 18-3
efivar 39-1
electron28 28.3.3-2
electron29 29.4.3-1
ell 0.66-1
enchant 2.8.0-1
epiphany 46.1-1
evince 46.3-1
evolution-data-server 3.52.2-1
exempi 2.6.5-1
exiv2 0.28.2-4
expat 2.6.2-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.35-1
fastfetch 2.15.0-1
fbreader 0.99.4-14
fcft 3.1.8-1
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
flac 1.4.3-1
flatpak 1:1.15.8-1
flex 2.6.4-5
fluidsynth 2.3.5-1
fmt 10.2.0-1
folks 0.15.9-1
fontconfig 2:2.15.0-2
foot 1.17.2-1
freeglut 3.6.0-1
freerdp 2:3.5.1-2
freetype2 2.13.2-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse3 3.16.2-1
fzf 0.53.0-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-7
gdb 14.2-2
gdb-common 14.2-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
gdm 46.2-1
geoclue 2.7.1-3
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.5-1
ghostscript 10.03.1-1
giflib 5.2.2-1
git 2.45.2-1
gjs 2:1.80.2-2
glib-networking 1:2.80.0-1
glib2 2.80.3-2
glibc 2.39+r52+gf8e4623421-1
glibmm 2.66.7-1
glibmm-2.68 2.80.0-1
glslang 14.1.0-1
glu 9.0.3-1
glycin 1.0.1-1
gmp 6.3.0-2
gnome-autoar 0.4.4-1
gnome-backgrounds 46.0-1
gnome-bluetooth-3.0 46.0-1
gnome-calculator 46.1-1
gnome-calendar 46.1-2
gnome-characters 46.0-1
gnome-clocks 46.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-connections 46.0-3
gnome-console 46.0-2
gnome-contacts 46.0-1
gnome-control-center 46.2-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 46.0-1
gnome-font-viewer 46.0-1
gnome-keybindings 46.2-1
gnome-keyring 1:46.1-2
gnome-logs 45.0-1
gnome-maps 46.11-1
gnome-menus 3.36.0-2
gnome-music 1:46.0-2
gnome-online-accounts 3.50.2-1
gnome-remote-desktop 46.2-1
gnome-session 46.0-2
gnome-settings-daemon 46.0-1
gnome-shell 1:46.2-1
gnome-shell-extensions 46.2-1
gnome-software 46.2-1
gnome-system-monitor 46.0-1
gnome-text-editor 46.3-1
gnome-tour 46.0-1
gnome-tweaks 46.1-1
gnome-user-docs 46.1-1
gnome-user-share 43.0-1
gnome-weather 46.0-1
gnupg 2.4.5-1
gnutls 3.8.5-1
go 2:1.22.4-1
gobject-introspection-runtime 1.80.1-3
gom 0.5.1-1
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
grim 1.4.1-1
groff 1.23.0-6
gsettings-desktop-schemas 46.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-3
gssdp 1.6.3-1
gst-devtools-libs 1.24.3-1
gst-editing-services 1.24.3-1
gst-plugin-gtk 1.24.3-1
gst-plugin-pipewire 1:1.0.7-2
gst-plugins-bad 1.24.3-1
gst-plugins-bad-libs 1.24.3-1
gst-plugins-base 1.24.3-1
gst-plugins-base-libs 1.24.3-1
gst-plugins-good 1.24.3-1
gst-python 1.24.3-1
gstreamer 1.24.3-1
gtest 1.14.0-1
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.14.4-1
gtk-vnc 1.3.1-1
gtk3 1:3.24.42-1
gtk4 1:4.14.4-1
gtkmm-4.0 4.14.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gtksourceview5 5.12.1-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
gvfs 1.54.1-1
gvfs-afc 1.54.1-1
gvfs-goa 1.54.1-1
gvfs-google 1.54.1-1
gvfs-gphoto2 1.54.1-1
gvfs-mtp 1.54.1-1
gvfs-nfs 1.54.1-1
gvfs-onedrive 1.54.1-1
gvfs-smb 1.54.1-1
gzip 1.13-2
harfbuzz 8.5.0-1
harfbuzz-icu 8.5.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-2
highway 1.2.0-1
htop 3.3.0-3
hunspell 1.7.2-1
hwdata 0.383-1
hyphen 2.8.8-5
hyprcursor 0.1.9-1
hyprland 0.41.0-1
hyprlang 0.5.2-1
iana-etc 20240412-1
icu 75.1-1
iio-sensor-proxy 3.5-2
ijs 0.35-6
imagemagick 7.1.1.33-1
imath 3.1.11-2
imlib2 1.12.2-2
intel-gmmlib 22.3.19-1
intel-media-driver 24.2.3-1
intel-ucode 20240531-1
iproute2 6.9.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
iwd 2.18-1
jansson 2.14-4
jasper 4.2.4-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jdk11-openjdk 11.0.23.u9-1
js115 115.12.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
karchive 6.3.0-1
kauth 6.3.0-1
kbd 2.6.4-1
kbookmarks 6.3.0-1
kcmutils 6.3.0-1
kcodecs 6.3.0-1
kcolorscheme 6.3.0-1
kcompletion 6.3.0-1
kconfig 6.3.0-1
kconfigwidgets 6.3.0-1
kcoreaddons 6.3.0-1
kcrash 6.3.0-1
kdbusaddons 6.3.0-1
kdnssd 6.3.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keepassxc 2.7.8-2
keyutils 1.6.3-2
kfilemetadata 6.3.0-1
kglobalaccel 6.3.0-1
kguiaddons 6.3.0-1
ki18n 6.3.0-1
kiconthemes 6.3.0-1
kidletime 6.3.0-1
kio 6.3.0-1
kio-extras 24.05.1-1
kirigami 6.3.0-1
kitemmodels 6.3.0-1
kitemviews 6.3.0-1
kitty 0.35.1-1
kitty-shell-integration 0.35.1-1
kitty-terminfo 0.35.1-1
kjobwidgets 6.3.0-1
kmod 32-1
knewstuff 6.3.0-1
knotifications 6.3.0-1
kpackage 6.3.0-1
kparts 6.3.0-1
krb5 1.21.2-2
kservice 6.3.0-1
ktextwidgets 6.3.0-1
kuserfeedback 6.3.0-1
kwallet 6.3.0-1
kwidgetsaddons 6.3.0-1
kwindowsystem 6.3.0-1
kxmlgui 6.3.0-1
l-smash 2.14.5-3
lame 3.100-4
lazygit 0.42.0-1
lcms2 2.16-1
ldb 2:2.9.0-3
leiningen 2.10.0-2
less 1:643-2
libabw 0.1.3-3
libadwaita 1:1.5.1-1
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.4-1
libass 0.17.2-1
libassuan 2.5.7-2
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.0.4-3
libavtp 0.2.0-2
libb2 0.98.1-2
libb64 1.2.1-4
libblockdev 3.1.1-2
libblockdev-crypto 3.1.1-2
libblockdev-fs 3.1.1-2
libblockdev-loop 3.1.1-2
libblockdev-mdraid 3.1.1-2
libblockdev-nvme 3.1.1-2
libblockdev-part 3.1.1-2
libblockdev-swap 3.1.1-2
libbluray 1.3.4-1
